name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tbilisi,2024-03-11,10.4,1.1,5.5,10.4,-1.6,3.2,-2.2,59.3,0,0,0,,0,0,57.6,27,324.7,1022.6,35.9,23.9,195.3,17,7,10,2024-03-11T07:18:57,2024-03-11T19:03:14,0.03,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
Tbilisi,2024-03-12,10.1,1,5.7,10.1,-1.2,3.9,-2.7,55.5,0,0,0,,0,0,43.9,15.1,84.8,1026.8,16.7,24,162.6,14.1,7,10,2024-03-12T07:17:16,2024-03-12T19:04:22,0.07,Clear,Clear conditions throughout the day.,clear-day,
Tbilisi,2024-03-13,10.7,1.7,5.9,10.7,1.7,5.3,0.6,70.1,0,0,0,,0,0,30.2,13.3,162.5,1025.3,73.6,24.1,178.6,15.7,6,10,2024-03-13T07:15:35,2024-03-13T19:05:30,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-14,8,5.2,6.3,6.9,4.1,5.5,4.2,86.4,4,9.7,25,rain,0,0,32,11.9,137.1,1025.6,100,23.1,71.2,6.2,4,10,2024-03-14T07:13:54,2024-03-14T19:06:38,0.13,Overcast,Cloudy skies throughout the day.,cloudy,
Tbilisi,2024-03-15,12.1,4.3,8.1,12.1,4.3,8.1,3.6,74.4,1,19.4,16.67,rain,0,0,16.6,5.4,169.8,1019.1,89.7,24.1,158.5,13.5,6,10,2024-03-15T07:12:13,2024-03-15T19:07:46,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-16,9.2,5,7.7,9.2,1.4,6.8,2.8,71.7,3.6,29,25,rain,0,0,42.8,18.4,295.9,1016.3,94.7,23.3,51.3,4.5,2,10,2024-03-16T07:10:31,2024-03-16T19:08:54,0.2,Overcast,Cloudy skies throughout the day.,cloudy,
Tbilisi,2024-03-17,7.9,3.7,5.2,4.5,-0.3,1.6,1.1,75.5,0.2,32.3,8.33,rain,0,0,40.7,21.6,326.3,1018,76.8,24,142.3,12.8,5,10,2024-03-17T07:08:50,2024-03-17T19:10:01,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-18,11.6,2.8,6.8,11.6,-0.5,4.8,-0.1,64,0,32.3,0,,0,0,26.3,19.8,331.2,1019.9,37.7,24.1,232.1,20.1,7,10,2024-03-18T07:07:08,2024-03-18T19:11:08,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-19,6.4,2.3,4.4,6,1.1,3.2,1.9,84.3,9.7,48.4,20.83,"rain,snow",0,0,19.8,8.6,143.7,1021.2,89.2,13.4,20.4,1.8,1,10,2024-03-19T07:05:26,2024-03-19T19:12:15,0.3,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow.,rain,
Tbilisi,2024-03-20,3.8,1.6,2.5,2.2,0.5,1.4,1.9,95.8,13,48.4,29.17,"rain,snow",0.9,0.5,12.6,8.6,154.9,1023.6,98.8,0.2,66.6,5.7,3,10,2024-03-20T07:03:43,2024-03-20T19:13:22,0.33,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,snow,
Tbilisi,2024-03-21,2.1,0.8,1.5,0.6,-0.8,-0.2,1.2,98.4,11.1,19.4,33.33,snow,1,0.7,13.3,6.5,149.9,1027.7,100,0.3,23.8,2.3,1,10,2024-03-21T07:02:01,2024-03-21T19:14:29,0.37,Overcast,Cloudy skies throughout the day.,fog,
Tbilisi,2024-03-22,6.9,-0.4,3.2,5.4,-0.4,2.2,-0.7,77.1,0.3,19.4,12.5,"rain,snow",0,0.4,11.9,9,162.4,1021.6,55.1,21.8,230.1,20.1,7,10,2024-03-22T07:00:19,2024-03-22T19:15:35,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-23,11.1,3.4,6.8,11.1,3.4,6.3,-0.1,62.4,0,16.1,0,,0,0,10.8,9.4,167.9,1017.4,67.5,24.1,236.9,20.7,7,10,2024-03-23T06:58:36,2024-03-23T19:16:42,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-24,9.8,5.3,7,8.5,3.8,6,2.1,71.7,0.1,9.7,4.17,rain,0,0,13,9.4,160.6,1020.1,87,22.8,122,10.8,4,10,2024-03-24T06:56:54,2024-03-24T19:17:48,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Tbilisi,2024-03-25,13.6,4.9,9,13.6,4.9,9,2.9,67,0.1,12.9,4.17,rain,0,0,11.2,8.3,169.5,1015.4,87.6,24.1,177.6,15.6,6,10,2024-03-25T06:55:12,2024-03-25T19:18:55,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
